"TIME","GEO","CROP_PRO","STRUCPRO","Value","Flag and Footnotes"
"2005","Etelä-Suomi (NUTS 2006)","ha: Cotton","Total","0",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Rape and turnip","Total","44 800",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Sunflower","Total","110",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Soya","Total","0",""
"2005","Etelä-Suomi (NUTS 2006)","ha:  Other oil-seed or fibre crops","Total","1 000",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Under glass: Flowers and ornemental plants","Total","80",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Fodder crops - total","Total","109 470",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Fodder crops - temporary grass","Total","108 900",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Total: Other green fodder: Fodder crops","Total","560",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Etelä-Suomi (NUTS 2006)","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Länsi-Suomi","ha: Utilised agricultural area","Total","784 460",""
"2005","Länsi-Suomi","ha: Arable land","Total","777 580",""
"2005","Länsi-Suomi","ha: Common wheat and spelt","Total","41 600",""
"2005","Länsi-Suomi","ha: Durum wheat","Total","0",""
"2005","Länsi-Suomi","ha: Rye","Total","5 700",""
"2005","Länsi-Suomi","ha: Barley","Total","226 440",""
"2005","Länsi-Suomi","ha: Oats","Total","164 050",""
"2005","Länsi-Suomi","ha: Grain maize","Total","0",""
"2005","Länsi-Suomi","ha: Rice","Total","0",""
"2005","Länsi-Suomi","ha: Other cereals","Total","590",""
"2005","Länsi-Suomi","ha: Pulses - total","Total","1 670",""
"2005","Länsi-Suomi","ha: Potatoes","Total","16 630",""
"2005","Länsi-Suomi","ha: Sugar beet","Total","9 520",""
"2005","Länsi-Suomi","ha: Fodder roots and brassicas","Total","0",""
"2005","Länsi-Suomi","ha: Industrial crops - total","Total","38 240",""
"2005","Länsi-Suomi","ha: Tobacco","Total","0",""
"2005","Länsi-Suomi","ha: Hops","Total","0",""
"2005","Länsi-Suomi","ha: Cotton","Total","0",""
